debtor_id,age_bracket,debt_amount,days_since_last_contact,prior_contact_attempts,time_of_day_last_contact,day_of_week_last_contact,partial_payment_history,true_p_email,true_p_sms,true_p_post,responded_email,responded_sms,responded_post
D100049,18-25,592.83,37,1,evening,sun,0,0.23713779977999302,0.2738973104717706,0.06995010528577779,0,1,0
D100050,26-35,138.93,70,6,afternoon,fri,1,0.1589184987562205,0.7342328243523076,0.5137659153278373,0,1,0
D100051,18-25,116.05,62,4,evening,sun,1,0.3729045671214163,0.7595450933700096,0.5063760759676528,0,1,0
D100052,51-65,795.18,19,1,afternoon,wed,0,0.4633483428665975,0.8023146841138079,0.7810230323249645,0,1,1
D100053,36-50,817.48,54,1,morning,wed,0,0.7698320869993046,0.5302584479915035,0.5079346634695695,0,0,1
D100054,36-50,389.67,87,2,afternoon,mon,0,0.5134792234452853,0.2313369277392938,0.8379228959490802,0,1,1
D100055,51-65,162.45,39,3,morning,sat,1,0.6193043655997487,0.5308318472041738,0.7195584355779503,1,1,0
D100056,36-50,197.25,83,2,evening,sat,0,0.44654624558702033,0.0660323234564439,0.7498239313827694,1,0,1
D100057,36-50,118.66,58,1,evening,sat,0,0.3740089206351823,0.3519456039132721,0.712387172095608,0,0,1
D100058,18-25,99.95,83,1,afternoon,wed,0,0.7003118718544998,0.10898473845708952,0.7064310630656081,1,0,1
D100059,18-25,95.59,81,5,evening,thu,1,0.7843919200693057,0.7307768600796474,0.3953473671083286,1,1,1
D100060,36-50,140.3,1,3,afternoon,thu,0,0.43043492832225605,0.548812090784279,0.5883497955606084,1,1,1
D100061,36-50,96.42,72,1,morning,mon,1,0.9457928497411839,0.558025689526358,0.45729969716108426,1,1,0
D100062,36-50,59.9,17,3,evening,mon,0,0.5819148886726876,0.3461084309360463,0.5108814986585509,0,0,1
D100063,51-65,298.11,74,5,evening,wed,1,0.40783213887628395,0.2466135103466585,0.6596596682852714,1,0,1
D100064,36-50,302.21,72,4,evening,thu,0,0.6733545487951234,0.5748006435635581,0.06180408144374,1,1,0
D100065,36-50,1130.84,23,1,morning,sun,1,0.7375174650288926,0.19909422589806497,0.5032982457052037,1,0,1
D100066,36-50,134.09,5,1,afternoon,sun,1,0.8111707864864555,0.8124079423622016,0.8101451392039389,0,1,1
D100067,26-35,319.41,37,0,morning,sat,0,0.4810057515716417,0.4083513077019075,0.12592791246839483,1,0,0
D100068,18-25,324.23,27,5,morning,sun,0,0.6506288491511579,0.18045417155984259,0.13398336994072566,0,0,0
D100069,26-35,194.72,49,4,morning,sat,0,0.2848111194011525,0.801376476262297,0.6616245908729319,0,1,1
D100070,26-35,478.14,7,2,morning,thu,0,0.590336703644856,0.9090034251460162,0.7378730784769769,1,1,1
D100071,26-35,491.62,3,0,afternoon,sun,1,0.9501050202467104,0.6823614631785635,0.3642666958333652,1,0,0
D100072,51-65,328.54,39,1,afternoon,sun,0,0.2639282551312938,0.27295461096719703,0.5953316609814926,1,0,0
D100073,26-35,194.4,69,3,evening,tue,1,0.5379726635748254,0.6106804424074815,0.43788009639969766,1,1,0
D100074,18-25,177.37,28,1,afternoon,tue,0,0.8110396929118773,0.5456975867185885,0.6611049319665258,1,0,1
D100075,26-35,71.45,29,2,morning,sun,1,0.8034079896946819,0.583601882322506,0.3741637139943957,1,1,1
D100076,26-35,118.47,14,5,night,mon,1,0.7712274840851581,0.8123389599641363,0.41510407656918274,0,1,1
D100077,36-50,139.8,25,4,evening,thu,1,0.45911940891552244,0.9497635638030908,0.8531318138248607,1,1,1
D100078,36-50,88.98,26,2,morning,wed,0,0.7762468909515327,0.4801445189685646,0.22720449299432324,1,0,1
D100079,51-65,363.56,23,3,afternoon,sat,1,0.6198599972255836,0.7715870930013994,0.533248997002347,0,1,0
D100080,36-50,718.36,30,4,morning,sun,1,0.9426935534362574,0.5980582738176312,0.5721906931048638,1,1,1
D100081,26-35,108.07,25,2,night,wed,0,0.7159221965914772,0.23298129081076258,0.7874842788569574,1,0,1
D100082,51-65,315.8,61,1,afternoon,tue,1,0.725314170195973,0.5252988410961504,0.33198371755967343,1,1,0
D100083,26-35,96.48,30,2,morning,wed,1,0.795846599497148,0.7495267284153139,0.3275519826736664,1,0,0
D100084,18-25,185.97,67,3,evening,sat,0,0.3995664358985062,0.8598675096836333,0.4495716086093255,1,1,1
D100085,18-25,131.46,54,1,evening,wed,0,0.7287756503796888,0.9230060834636596,0.5241993903032286,1,1,1
D100086,36-50,420.61,57,3,afternoon,fri,0,0.34004241936325197,0.5345139851324764,0.4674633983274095,0,0,0
D100087,36-50,132.83,52,1,afternoon,wed,0,0.9120726283260815,0.8109536741084726,0.4168190897341545,1,1,1
D100088,26-35,608.19,83,2,afternoon,sat,1,0.18182575728044914,0.5056653156069346,0.46695998793543286,0,0,1
D100089,36-50,196.14,23,4,afternoon,mon,1,0.800269399661566,0.8647153934458118,0.20269778132906055,1,1,0
D100090,26-35,136.37,88,1,afternoon,wed,0,0.3281308886154327,0.5783259660142187,0.3694660729680495,0,1,0
D100091,36-50,79.2,18,5,evening,wed,0,0.695111793875834,0.7983234617309846,0.8058382330278053,1,0,0
D100092,26-35,307.32,12,0,evening,fri,0,0.8900432223094243,0.9201063285951926,0.13873936693930922,1,0,1
D100093,26-35,547.68,74,4,evening,fri,0,0.09899282225634326,0.6649096423262143,0.1591339708417161,0,0,0
D100094,26-35,312.93,80,2,evening,sat,1,0.5366669647542791,0.3955735612291475,0.34565246219596996,1,0,1
D100095,36-50,1835.27,8,2,afternoon,sun,1,0.16000157776821056,0.3739809232706764,0.4124354281055663,0,0,1
D100096,26-35,886.08,53,2,afternoon,sat,0,0.309204904148459,0.6726698388857836,0.7854483800761219,0,0,1
D100097,18-25,185.53,46,0,evening,mon,0,0.23079965916559575,0.8782762158291784,0.15456940778188802,0,1,0
D100098,18-25,183.79,19,1,morning,fri,1,0.7286386720389344,0.8604217639899584,0.2094147562906722,0,1,0
D100099,65+,373.43,46,3,morning,mon,0,0.3906587936499531,0.23138946066283633,0.8098000537361741,0,0,1
D100100,51-65,115.1,61,0,morning,wed,0,0.8207084876897889,0.5015020127981665,0.37615352403090824,1,1,1
D100101,36-50,699.01,51,2,evening,fri,1,0.8987455756668778,0.49512253171954423,0.7274697001843416,1,1,1
D100102,26-35,338.81,46,2,evening,wed,1,0.7105983668099276,0.67245767796549,0.4268785148233202,1,1,1
D100103,65+,308.22,79,1,afternoon,fri,1,0.8338005033640409,0.8430698676156358,0.8251257908572205,1,1,1
D100104,51-65,454.07,20,3,afternoon,sat,0,0.8550777228344733,0.2807452455656473,0.1744713298337051,0,0,0
D100105,36-50,1153.49,56,2,evening,fri,1,0.3503969108769319,0.6380201814502783,0.6193687577046172,0,1,1
D100106,26-35,285.39,28,2,morning,thu,1,0.9229244834960904,0.7958213889003369,0.565527261957833,1,1,1
D100107,26-35,221.02,87,3,afternoon,sun,0,0.39441127545544885,0.16483820176231354,0.26694291843054124,1,0,0
D100108,18-25,951.32,22,4,evening,fri,0,0.16145615914677963,0.2912203978371995,0.09470583499057213,0,0,0
D100109,51-65,584.52,78,1,evening,tue,0,0.6300251202187064,0.31929483704120165,0.5527167886026418,1,1,0
D100110,36-50,183.3,56,0,afternoon,fri,0,0.6920583332156723,0.1193838658684659,0.6444250286787494,0,0,0
D100111,26-35,245.84,19,3,afternoon,thu,1,0.3643580239258108,0.9629788197572823,0.3636937821406459,0,1,0
D100112,26-35,291.73,68,1,night,mon,1,0.24748110062879825,0.5662926563507206,0.35320374163724755,0,0,0
D100113,36-50,338.88,21,2,afternoon,sun,0,0.9150355537406715,0.3867433072358342,0.6684308035381422,1,1,0
D100114,26-35,72.17,23,4,evening,sat,0,0.651230674319002,0.8592936122726541,0.8005745502362767,1,0,1
D100115,51-65,61.05,31,3,evening,fri,0,0.9215634670857584,0.4433649157496952,0.7768723735434371,1,1,1
D100116,51-65,110.1,61,1,evening,fri,0,0.5774952702336675,0.6164305260717711,0.6001402922285555,1,1,0
D100117,36-50,102.69,35,1,morning,fri,0,0.510993482277217,0.4183668058111131,0.40308850708428584,1,0,0
D100118,26-35,137.08,51,4,afternoon,wed,1,0.2302719527258858,0.7070319256170956,0.4664138811488686,1,1,0
D100119,36-50,433.22,49,2,afternoon,sun,1,0.8572018284126981,0.7728475896135838,0.22091782087971193,1,1,0
D100120,36-50,210.18,17,2,afternoon,thu,1,0.8727243958150627,0.4842683667613236,0.5509774381183022,1,0,0
D100121,36-50,292.0,20,3,afternoon,wed,0,0.5729829135962212,0.688187037850848,0.7391806919624625,0,1,0
D100122,18-25,81.3,27,1,afternoon,fri,1,0.5121473270709832,0.2639475355888252,0.4860917116274449,0,1,1
D100123,26-35,161.5,20,3,afternoon,tue,1,0.9082989804175641,0.9350340197302123,0.3437898389049125,1,1,0
D100124,18-25,415.11,82,5,evening,wed,0,0.26573671061280874,0.34482711291946744,0.13900341386070797,0,1,0
D100125,36-50,417.99,34,3,afternoon,mon,0,0.5788137102803576,0.473745707357513,0.42327721679344504,1,1,0
D100126,26-35,127.47,36,1,afternoon,mon,0,0.5085622821819743,0.6679820219525906,0.14148362410218582,0,1,0
D100127,18-25,283.01,60,3,afternoon,sat,0,0.2629134355309018,0.2960841676267065,0.13699850749457082,1,0,1
D100128,18-25,1770.4,70,0,evening,thu,1,0.4771340652464272,0.32953699701235334,0.7377817643210915,1,0,1
D100129,36-50,240.85,61,3,morning,sat,1,0.26611640572573886,0.6361855108830886,0.2760153752211573,1,1,1
D100130,26-35,131.12,49,2,evening,fri,1,0.7546536210328686,0.8470097737747241,0.28486378000591256,1,1,1
D100131,65+,209.27,87,0,afternoon,tue,0,0.7894351444890852,0.13094472170772734,0.7096526582241923,1,0,1
D100132,36-50,265.86,80,5,evening,tue,0,0.48292369830705906,0.49024452733506096,0.2737337951202352,0,1,0
D100133,26-35,213.57,18,5,evening,thu,0,0.8208648651577766,0.7714807540503882,0.39118211135222175,1,1,1
D100134,36-50,237.88,14,2,afternoon,mon,0,0.9208050004907072,0.4974910745241745,0.6960053388866734,1,0,0
D100135,18-25,66.75,35,2,evening,fri,1,0.8602630195762712,0.51383955818104,0.1333892249237691,1,1,0
D100136,65+,102.89,75,3,night,thu,0,0.23798835066014234,0.22019968870445983,0.8084652039595314,0,0,1
D100137,36-50,213.92,86,3,morning,mon,0,0.5096132929744274,0.46581999520005113,0.25839176755201476,0,0,0
D100138,51-65,210.87,63,3,afternoon,thu,0,0.6638317172603714,0.3525720029651931,0.43791095906602784,1,1,0
D100139,18-25,147.0,62,3,night,sat,1,0.23999846076088138,0.47572442792417036,0.8657288104059034,0,1,1
D100140,36-50,208.66,21,2,evening,sun,0,0.5580325428495232,0.6532903005863285,0.1553321415258269,1,1,0
D100141,36-50,258.5,53,3,evening,wed,0,0.48388621750000543,0.7808237100603802,0.5821213443027219,1,0,0
D100142,65+,544.83,16,4,afternoon,mon,1,0.9686388120984841,0.2664030593645193,0.9146078378386661,1,0,1
D100143,36-50,223.79,48,2,afternoon,sun,0,0.529269756741225,0.36464434898210146,0.2690639825021448,1,0,1
D100144,36-50,350.44,17,2,evening,thu,0,0.8937515601869546,0.9665680116962406,0.28819028408049985,1,1,0
D100145,26-35,150.29,6,4,evening,sat,0,0.3676695827599475,0.7193332176440399,0.29925527102073046,1,1,1
D100146,26-35,409.48,87,4,afternoon,mon,0,0.8085183216106562,0.1668236057500819,0.17268074846976378,1,0,0
D100147,36-50,343.15,80,0,morning,wed,0,0.501722881714396,0.31886937856554065,0.4379589698648516,1,0,1
D100148,26-35,533.38,61,3,evening,tue,0,0.5006957641892558,0.3363455830648348,0.5661291391623963,1,1,1
D100149,18-25,465.04,56,4,evening,sat,0,0.06018304024588758,0.6253800784931834,0.21201923379425477,0,0,0
D100150,51-65,415.66,21,1,night,fri,0,0.7976058630582988,0.5454381299615914,0.7906347755144493,1,0,1
D100151,51-65,223.95,51,4,afternoon,sat,0,0.8156908686208373,0.18825622219887125,0.8341978581529326,1,0,1
D100152,18-25,305.04,67,1,afternoon,wed,0,0.18866528022704326,0.9312762507855669,0.4176095775625086,0,1,1
D100153,36-50,637.25,48,0,afternoon,wed,1,0.9146073669131181,0.6489054334811883,0.6891923578540389,0,0,0
D100154,18-25,136.07,25,6,afternoon,tue,1,0.22404416753599463,0.6523598759151693,0.28407602871062904,1,1,0
D100155,36-50,138.99,35,4,afternoon,tue,1,0.8571211723391913,0.3037614743879936,0.06730785231437275,1,0,0
D100156,26-35,288.09,75,2,morning,tue,1,0.5338434709846951,0.4175232303858322,0.6195916365200339,0,1,1
D100157,36-50,355.58,22,2,afternoon,sat,0,0.8830642059501782,0.2036321822036639,0.6673118137277148,1,0,1
D100158,36-50,116.55,86,4,morning,fri,0,0.5748423455337702,0.3099411704087026,0.46094383823032786,1,0,0
D100159,51-65,228.77,67,4,evening,fri,0,0.7752720397939267,0.162365820052148,0.7316304677265582,0,0,1
D100160,18-25,224.84,80,0,afternoon,sun,1,0.8228267116654527,0.8410863160405516,0.28764158596810996,1,1,1
D100161,65+,33.32,45,2,afternoon,sat,0,0.49655222134336297,0.1910523870684326,0.7825698772469629,1,0,1
D100162,26-35,200.81,20,4,evening,wed,1,0.722191703430825,0.891882512959895,0.8331584187294527,0,1,1
D100163,18-25,212.39,3,4,morning,wed,1,0.33573075839435523,0.8865556376590056,0.6464087159845973,0,1,0
D100164,36-50,211.82,48,5,afternoon,mon,0,0.48676186368470176,0.6081447250460211,0.7563579794830363,0,1,1
D100165,26-35,875.09,35,2,evening,sat,1,0.917194209407564,0.8349627344652196,0.7888202916381665,1,0,1
D100166,51-65,81.92,10,3,evening,sun,0,0.831779478993987,0.8909858702774511,0.2584019397694806,0,1,1
D100167,51-65,116.49,83,1,afternoon,sat,1,0.3907318092759758,0.2294732456630693,0.7972182125250424,0,0,1
D100168,26-35,23.31,87,4,evening,thu,0,0.8571676061060268,0.7178315005707732,0.19473705935821842,0,1,0
D100169,65+,158.73,33,4,night,wed,1,0.6402689953205647,0.5175097171008328,0.5015207709042966,1,1,1
D100170,26-35,171.39,60,1,evening,thu,1,0.8745234818002043,0.901102537037333,0.4081379366309267,1,1,1
D100171,36-50,154.63,37,1,afternoon,tue,0,0.8178699153705185,0.5996481996760531,0.8549813827116941,1,1,1
D100172,26-35,663.09,44,2,evening,tue,1,0.748616008977461,0.8982808448298606,0.321416023509483,1,0,1
D100173,65+,530.89,56,5,afternoon,thu,0,0.07117884834189547,0.06670542067707672,0.18444542608061468,0,0,0
D100174,26-35,262.45,37,5,afternoon,tue,0,0.778479264474781,0.31569214421467817,0.0994354200386237,1,0,0
D100175,18-25,175.29,72,6,afternoon,sat,0,0.029769762755537627,0.30916106159876977,0.39313314531510724,0,0,1
D100176,26-35,616.2,17,0,evening,sun,1,0.8870575022619469,0.7473413346129057,0.30945998401041125,1,1,0
D100177,65+,240.38,60,2,afternoon,tue,1,0.6997287636264471,0.4323435069292117,0.24141187095363237,1,1,0
D100178,51-65,117.16,88,5,evening,mon,0,0.7097220159188304,0.14582948916882874,0.1638481601164406,0,0,0
D100179,51-65,52.22,76,1,night,sun,1,0.5868044715124731,0.18989225568449064,0.7045241963498214,0,1,0
D100180,51-65,164.48,4,1,afternoon,wed,1,0.94363204873998,0.5337849801765773,0.8488947827668094,1,1,1
D100181,51-65,482.6,10,5,morning,tue,0,0.556685608309295,0.10189634397965443,0.41459861127385905,0,0,1
D100182,36-50,1898.62,56,1,night,sat,1,0.3109311350439194,0.25984805813705747,0.6516741524767284,0,1,1
D100183,26-35,258.64,83,2,morning,sat,0,0.5240152579963583,0.44017300522712954,0.5809115359418469,0,0,0
D100184,51-65,122.88,75,1,evening,fri,1,0.9605479926074978,0.6402567163526784,0.4341043746596408,1,0,0
D100185,36-50,84.23,81,1,morning,tue,0,0.7616478727205732,0.49120818429155994,0.3941410205581635,1,1,0
D100186,26-35,402.12,13,1,afternoon,fri,1,0.43356114666188983,0.9680132110419841,0.35794932431044624,0,1,1
D100187,18-25,49.99,46,4,afternoon,sat,0,0.26825441729712063,0.7815006676322332,0.4573039467324765,0,0,0
D100188,51-65,401.54,65,3,afternoon,thu,0,0.6848907118863997,0.5379973667577027,0.3401846491853795,0,0,0
D100189,26-35,510.78,56,3,night,thu,1,0.7590194677499058,0.7104481565284427,0.18990103627619315,1,1,0
D100190,65+,362.36,69,2,morning,thu,1,0.4138905838755551,0.5183223467065552,0.7514333235922149,0,1,0
D100191,26-35,200.8,19,3,morning,fri,0,0.9475213067214301,0.6210959407224516,0.6829238779364968,1,1,0
D100192,18-25,406.85,41,5,evening,thu,1,0.5673574196877099,0.7416347308053987,0.5465494543924978,0,1,1
D100193,51-65,285.39,40,1,night,sun,1,0.6867462692398275,0.8862255302978498,0.8669043404975459,1,1,1
D100194,26-35,121.47,84,2,afternoon,mon,0,0.21903214154408604,0.5204907344375456,0.5867561846796066,0,1,1
D100195,26-35,1293.84,18,5,evening,mon,0,0.6613879109445835,0.19975602776156193,0.3194353557357001,1,0,0
D100196,36-50,178.3,29,2,morning,tue,0,0.5733570472881317,0.7309196144679607,0.3076873192525228,0,1,0
D100197,51-65,491.85,1,3,evening,tue,0,0.48335759481667157,0.7358924993787289,0.3245829514153705,1,1,0
D100198,26-35,27.75,13,3,evening,thu,1,0.728189777644633,0.8348084070976609,0.16052399733637684,0,1,0
D100199,26-35,771.88,88,2,evening,mon,0,0.7571237543340957,0.09625115780718657,0.6140968320186347,1,0,1
D100200,51-65,917.72,76,1,evening,tue,0,0.611035438998963,0.6475462012063683,0.3860461471216812,1,1,0
D100201,65+,251.35,23,4,night,thu,0,0.21205418130742518,0.3669681395165555,0.24320167852091037,1,0,0
D100202,36-50,404.6,63,2,afternoon,sun,1,0.5086226738032834,0.4184988422946859,0.818892847021011,0,0,0
D100203,18-25,404.5,53,3,evening,sat,0,0.7371749359484282,0.8269869302451394,0.32079489475683476,1,1,0
D100204,18-25,137.21,81,0,evening,tue,0,0.4573879115012434,0.16631371889659902,0.5666677003586841,0,0,1
D100205,26-35,400.38,27,3,afternoon,mon,1,0.8021057713384236,0.7687181092626575,0.4179935623791722,1,1,1
D100206,18-25,118.18,89,2,night,sat,0,0.4130910949586361,0.32374762552938424,0.1562649422624956,0,0,0
D100207,36-50,141.47,33,1,evening,sat,1,0.08326495479709459,0.905150328024573,0.699196676225394,0,1,1
D100208,18-25,674.69,64,2,evening,sun,0,0.6613079341242228,0.5906327600564036,0.41412248561008574,1,1,1
D100209,36-50,588.27,35,2,afternoon,thu,1,0.5104360144045067,0.38776166243477095,0.47643367980715456,1,0,1
D100210,36-50,129.58,60,2,evening,mon,0,0.5827831499231698,0.7707759504673346,0.7621303253940868,1,1,0
D100211,36-50,126.44,30,1,afternoon,sun,0,0.9239051163618494,0.07051970599829445,0.7146966843414524,1,0,1
D100212,26-35,136.86,75,3,night,wed,0,0.7290730730409745,0.6269029078201325,0.5058424289762814,1,1,0
D100213,51-65,473.13,57,1,morning,wed,1,0.7927936062094201,0.21046690935432064,0.3496978164465981,1,0,0
D100214,36-50,99.49,25,0,evening,wed,1,0.9345204763267551,0.6382261581477771,0.27913589010506357,1,1,0
D100215,51-65,337.32,86,3,morning,sun,0,0.667764921915328,0.19570959716036215,0.7816271596214762,1,0,1
D100216,18-25,479.22,63,1,evening,wed,1,0.8710552886266227,0.8866316668462256,0.060029110424553916,1,1,0
D100217,18-25,226.01,38,1,afternoon,thu,0,0.8704786120015392,0.9664195355792912,0.3150462321769927,1,1,0
D100218,65+,607.32,12,3,evening,thu,1,0.7248735676480061,0.12153335749932088,0.7883534814842937,1,0,1
D100219,26-35,186.07,87,3,evening,sun,1,0.3613581767543281,0.6823268770672812,0.3165982605665646,0,1,1
D100220,26-35,201.85,67,2,afternoon,sun,0,0.41864620950548553,0.9232826544495204,0.342153251399608,1,1,0
D100221,36-50,101.54,60,0,evening,fri,0,0.7613974669506416,0.38777785305557816,0.5634285781733283,1,0,1
D100222,36-50,611.22,74,2,evening,mon,1,0.652107981769938,0.34683148612595543,0.35498203409708495,0,1,0
D100223,65+,122.75,54,3,afternoon,wed,1,0.412844198702489,0.4906879842120407,0.889973931901297,1,1,1
D100224,26-35,335.22,20,3,afternoon,fri,1,0.7999517854686222,0.8910810650788553,0.6547640560908419,1,1,0
D100225,65+,229.48,21,0,morning,sat,0,0.23325815095212862,0.5676734582306011,0.6531493445676853,0,1,1
D100226,18-25,94.87,7,3,morning,sat,1,0.6407283697127282,0.7274572671046153,0.2706130917003366,1,1,0
D100227,36-50,141.43,5,3,afternoon,thu,0,0.7646828629281505,0.3950437066602733,0.4511948841038519,1,0,0
D100228,36-50,849.45,65,4,afternoon,fri,1,0.5819902619802071,0.7809726255655325,0.9080880429963777,0,1,1
D100229,18-25,293.39,76,2,afternoon,wed,1,0.7454713716518458,0.5038013116756382,0.23063167756106584,1,1,1
D100230,18-25,98.67,14,2,night,fri,1,0.7384085474849638,0.3477274021468175,0.840495570379499,1,0,1
D100231,26-35,322.08,51,0,morning,thu,1,0.9665486452166274,0.38008338042110174,0.12595937211849303,1,0,1
D100232,65+,214.54,11,3,evening,fri,1,0.6513375391115915,0.3889838278545274,0.5759737289775921,1,0,1
D100233,36-50,5478.8,37,4,evening,sun,0,0.02159034162901475,0.2339128315545815,0.10362830824150426,0,0,0
D100234,65+,316.27,71,3,evening,sat,1,0.627270287364204,0.10780720419994433,0.8852154738362389,0,0,1
D100235,51-65,173.72,73,5,afternoon,sat,0,0.4763559494756664,0.6422441387576482,0.5075699513570031,0,0,1
D100236,36-50,878.33,85,2,morning,sat,0,0.12053346693797186,0.6074771894935983,0.7115071552885268,0,1,1
D100237,51-65,46.67,27,1,evening,tue,0,0.46212186318202475,0.6052097821447581,0.4833249462526974,0,0,1
D100238,18-25,266.37,85,4,evening,tue,0,0.35815001751536785,0.06319725746646124,0.26209448502247973,0,0,1
D100239,18-25,1472.9,70,1,evening,sat,0,0.044804714319171234,0.1735329257182519,0.18633657845210638,0,0,0
